Fecha y Hora,Generación turbina kW,"Velocidad de viento en 110.0 metros [mean,m/s]","Dirección del viento en 108.0 metros [mean,grados]","Dirección del viento en 20.0 metros [mean,grados]","Radiación Solar Global Horizontal [mean,W/m2]","Presión Atmosférica [mean,hPa]","Temperatura en 108.0 metros [mean,C]","Humedad Relativa en 108.0 metros [mean,%]",Dia Juliano
2024-02-09 04:00:00,0.0,3.1415416666666665,284.04699999999997,74.1,0.0,752.1046666666667,15.924999999999999,38.425000000000004,738925.0
2024-02-09 05:00:00,118.18181818181819,4.451947166666667,353.6166666666666,22.23,0.0,752.0908833333333,16.011666666666667,38.71333333333333,738925.0
2024-02-09 06:00:00,95.45454545454545,5.121970166666666,62.770333333333326,28.405,19.145788833333334,752.3331,16.153333333333332,36.41166666666667,738925.0
2024-02-09 07:00:00,60.9090909090909,4.879078666666667,4.607666666666667,34.39833333333333,179.05906666666667,753.0114166666667,16.5,34.98666666666667,738925.0
2024-02-09 08:00:00,36.06060606060606,4.0291215,297.536,69.20666666666666,444.93516666666665,753.8524333333334,16.901666666666667,35.22,738925.0
2024-02-09 09:00:00,38.78787878787879,3.1552469999999997,315.2,316.18333333333334,705.5532833333333,754.3608333333333,17.95,32.973333333333336,738925.0
2024-02-09 10:00:00,0.0,3.146858333333333,262.6166666666667,264.0,851.6249666666666,754.8203166666667,18.919999999999998,28.578333333333333,738925.0
2024-02-09 11:00:00,0.0,4.216420333333333,226.25,236.20000000000002,846.1076333333334,754.6858666666667,19.505,23.804999999999996,738925.0
2024-02-09 12:00:00,2.727272727272727,5.130274,213.36666666666667,218.19999999999996,1264.6023333333333,754.6091833333334,20.285,20.726666666666667,738925.0
2024-02-09 13:00:00,158.78787878787878,6.0022546666666665,210.75,219.01666666666665,961.0527666666667,754.3487333333334,20.705000000000002,22.876666666666665,738925.0
2024-02-09 14:00:00,303.3333333333333,6.994481333333333,265.8,281.6666666666667,239.93793333333335,753.7751,19.19666666666667,30.755,738925.0
2024-02-09 15:00:00,1519.6969696969697,7.027278166666666,211.83333333333334,219.6833333333333,429.2386333333333,753.6047333333332,19.495,26.906666666666666,738925.0
2024-02-09 16:00:00,1428.7878787878788,8.7777625,211.6833333333333,216.65,734.8952166666667,753.6598166666666,19.615,26.793333333333333,738925.0
2024-02-09 17:00:00,1003.030303030303,7.640993833333333,197.5666666666667,203.23333333333335,470.4668,753.4873000000001,18.906666666666666,29.304999999999996,738925.0
2024-02-09 18:00:00,219.0909090909091,7.660604166666666,196.9333333333333,206.01666666666665,201.45198833333333,753.4662333333332,17.575,36.175000000000004,738925.0
2024-02-09 19:00:00,971.8181818181819,6.3664301666666665,185.46666666666667,194.36666666666667,18.650810200000002,753.4537833333334,15.901666666666666,41.245,738925.0
2024-02-09 20:00:00,699.3939393939394,4.869497833333333,143.21666666666667,151.04999999999998,0.0,753.4733833333333,14.751666666666667,44.95166666666666,738925.0
2024-02-09 21:00:00,270.3030303030303,6.7327655,124.21666666666665,114.68333333333334,0.0,753.5142999999999,15.045,47.038333333333334,738925.0
2024-02-09 22:00:00,217.27272727272728,7.0787325,123.10000000000001,109.66666666666667,0.0,753.5149,16.851666666666667,35.835,738925.0
2024-02-09 23:00:00,19.393939393939394,5.859017166666667,130.31666666666666,113.55,0.0,753.5753333333333,17.921666666666667,23.126666666666665,738925.0
2024-02-10 00:00:00,3.6363636363636362,4.323873166666666,133.23333333333332,115.11666666666667,0.0,753.4848666666667,17.771666666666665,21.421666666666667,738926.0
2024-02-10 01:00:00,105.45454545454545,3.6702630000000003,150.36666666666667,122.71666666666665,0.0,753.3170666666666,17.686666666666667,20.67833333333333,738926.0
2024-02-10 02:00:00,5.151515151515151,2.4469843333333334,156.43333333333334,123.45,0.0,752.8682666666667,17.365,20.948333333333334,738926.0
2024-02-10 03:00:00,0.0,2.2408183333333334,162.33333333333334,129.83333333333334,0.0,752.511,17.015,21.396666666666665,738926.0
2024-02-10 04:00:00,0.0,1.8599783333333333,144.0,121.14999999999999,0.0,752.3550666666666,16.643333333333334,21.51,738926.0
2024-02-10 05:00:00,0.0,2.7692726666666663,134.01666666666668,116.25,0.0,752.47525,17.063333333333333,19.976666666666667,738926.0
2024-02-10 06:00:00,0.0,2.7057830000000003,131.01666666666665,118.81666666666666,17.474683866666666,752.6375666666667,16.981666666666666,20.775000000000002,738926.0
2024-02-10 07:00:00,0.0,2.7333056666666664,127.05,116.75,177.81193166666665,753.33685,17.691666666666666,20.073333333333334,738926.0
2024-02-10 08:00:00,0.0,2.5223418333333334,140.21666666666667,146.9,446.5011666666667,753.9689833333333,18.599999999999998,19.185,738926.0
2024-02-10 09:00:00,0.0,2.8151015000000004,171.4333333333333,184.5666666666667,711.5916000000001,754.28535,19.445,17.966666666666665,738926.0
