,Fecha y Hora,Generación turbina kW,pitch_angle,rotor_speed,Velocidad Real,Velocidad Predicha
1624,2024-03-16 03:00:00,0.0,85.13180883211939,0.16396606548527307,1.724904666666666,1.889907360076904
1625,2024-03-16 04:00:00,2.727272727272727,84.5921984606774,0.09344838138273362,0.8222312333333334,2.289033651351929
1626,2024-03-16 05:00:00,120.6060606060606,85.28218588041841,0.1612180278775384,1.336882216666667,1.401364684104919
1627,2024-03-16 06:00:00,271.2121212121212,84.5792242610591,0.057674401561481424,1.064028,1.494070053100586
1628,2024-03-16 07:00:00,317.5757575757576,86.29663183461898,0.11064827782052881,2.214572333333333,1.680394887924194
1629,2024-03-16 08:00:00,430.9090909090909,84.55107972423798,0.09162369626335462,2.110037166666667,2.828444719314575
1630,2024-03-16 09:00:00,205.1515151515152,84.93925835482653,0.0840025327744029,2.699610666666667,2.714367628097534
1631,2024-03-16 10:00:00,7.575757575757576,84.99910705154893,-0.02424411104234822,2.898678833333333,3.043412446975708
1632,2024-03-16 11:00:00,0.0,4.573401890179797,1.1782890209745414,3.884775833333334,3.601078271865845
1633,2024-03-16 12:00:00,1.818181818181818,2.1237784923486918,0.6295280523373642,4.708781666666667,4.733467578887939
1634,2024-03-16 13:00:00,330.0,-9.378877570386837,1.8277644869876823,6.026088000000001,5.695276737213135
1635,2024-03-16 14:00:00,395.45454545454544,-9.150115386765798,1.8952310085920607,7.007948166666666,6.91521167755127
1636,2024-03-16 15:00:00,397.5757575757576,-9.681142894699281,1.91237179959747,6.544625,7.148907661437988
1637,2024-03-16 16:00:00,403.6363636363636,-7.839980980897945,1.8130594044491208,5.762478000000001,6.308206558227539
1638,2024-03-16 17:00:00,398.7878787878788,-8.871820444988622,1.941791304748156,6.236,5.630993843078613
1639,2024-03-16 18:00:00,388.7878787878788,-9.271454817947557,1.891556604945504,6.004611666666666,5.655807495117188
1640,2024-03-16 19:00:00,181.2121212121212,-7.974810749815711,1.4827737533875205,4.502895833333334,4.803380966186523
1641,2024-03-16 20:00:00,0.0,7.976671747040373,0.9390791857086493,3.665745833333334,3.574417352676392
1642,2024-03-16 21:00:00,0.0,84.92149898535763,0.13260127891506734,2.024327333333333,2.82943320274353
1643,2024-03-16 22:00:00,0.0,85.46597775400477,0.09200497188142852,2.608135833333333,1.624681234359741
1644,2024-03-16 23:00:00,0.0,85.5289071748527,0.1616678266271361,1.368388733333333,2.35283350944519
1645,2024-03-17 00:00:00,9.696969696969695,84.94897857913551,0.1238946873324764,0.3220708166666666,1.726093530654907
1646,2024-03-17 01:00:00,133.33333333333334,84.83837344442615,0.12710334432027953,0.71329155,1.491589307785034
1647,2024-03-17 02:00:00,233.03030303030303,85.66688207163752,0.1514312810655093,2.288933833333334,2.168536424636841
1648,2024-03-17 03:00:00,465.75757575757575,-9.471129898933553,1.229323582738467,3.441820666666666,3.651031017303467
1649,2024-03-17 04:00:00,433.030303030303,-9.75733553069893,1.627259395788292,4.661998833333334,3.930386781692505
1650,2024-03-17 05:00:00,278.4848484848485,-8.27982267272991,1.3878036031050527,4.1357047,3.841323137283325
1651,2024-03-17 06:00:00,278.7878787878788,85.60579566402595,0.04635086669661749,1.384338183333333,2.88801121711731
1652,2024-03-17 07:00:00,375.45454545454544,85.56435059054267,0.07171268374337822,0.82778615,2.037615776062012
1653,2024-03-17 08:00:00,265.7575757575757,84.72906208799076,0.060286927544923916,2.112941,2.578102827072144
1654,2024-03-17 09:00:00,8.787878787878787,84.38901099398731,0.05543643984557095,1.778378616666667,2.909061908721924
1655,2024-03-17 10:00:00,0.0,85.19880464052957,0.12713320064225808,1.777663166666667,2.780327558517456
1656,2024-03-17 11:00:00,0.0,2.2501749213637208,0.9231792481307386,3.227854833333333,3.169472455978394
1657,2024-03-17 12:00:00,0.0,14.33066479329855,0.9155883290860298,5.162931,4.519145965576172
1658,2024-03-17 13:00:00,105.15151515151516,-8.70698334881726,1.7765985442366556,5.759139333333334,5.849908828735352
